customer_id,age,gender,tenure_months,contract_type,monthly_charges,total_charges,internet_service,phone_service,avg_monthly_gb_used,num_support_tickets,avg_monthly_minutes,satisfaction_score,payment_method,num_additional_services,last_interaction_date,churned,days_since_contact
TC-004654,51.35110707,Male,9.6478599,Month-to-month,102.94,1024.51,No internet,Yes,14.83,1.0,361.6,5.5,Credit card,0.0,2024-05-25,1,36.0
TC-000034,26.13433607,Female,32.23128006,One year,109.36,3561.35,Fiber optic,No,9.82,3.0,277.7,4.2,Credit card,3.0,2024-06-21,0,9.0
TC-003023,35.82860089,Male,44.23681798,Two year,73.89,3360.0,DSL,Yes,4.93,3.0,210.3,7.4,Credit card,1.0,2024-05-14,0,47.0
TC-003621,21.40710823,Male,33.3251831,Month-to-month,47.04,1682.89,DSL,No,16.74,1.0,247.8,6.4,Bank transfer,5.0,2024-05-13,0,48.0
TC-000486,20.66619436,Female,58.45001871,Two year,74.97,4516.36,Fiber optic,Yes,40.41,1.0,457.5,6.2,Bank transfer,4.0,2024-05-27,0,34.0
TC-000080,43.01292307,Male,5.22523151,Month-to-month,57.52,527.38,Fiber optic,Yes,29.03,0.0,266.9,5.8,Credit card,5.0,2024-05-11,0,50.0
TC-001345,56.24331203,Female,39.5509442,Month-to-month,53.8,2123.3,DSL,Yes,0.06,2.0,199.0,6.6,Credit card,5.0,2024-06-14,0,16.0
TC-000578,53.56297791,Female,34.34976197,Month-to-month,57.1,2037.13,Fiber optic,Yes,1.67,3.0,445.3,8.9,Credit card,1.0,2024-05-17,0,44.0
TC-001176,43.01292307,Male,15.36186796,Month-to-month,20.0,328.64,Fiber optic,Yes,14.02,1.0,172.1,10.0,Bank transfer,1.0,2024-04-25,0,66.0
TC-001488,43.01292307,Female,16.05812695,Month-to-month,35.02,673.65,Fiber optic,No,29.59,0.0,260.2,3.5,Mailed check,2.0,2024-06-11,0,19.0
TC-000498,39.14491983,Female,1.0,Month-to-month,22.85,16.04,Fiber optic,Yes,18.85,3.0,428.3,6.7,Electronic check,0.0,2024-06-23,1,7.0
TC-004103,62.26609339,Male,53.38982891,Month-to-month,73.49,3929.2,DSL,No,0.89,0.0,367.5,4.3,Electronic check,3.0,2024-06-17,1,13.0
TC-001145,39.40392264,Male,4.400608329,Two year,74.25,320.27,No internet,Yes,3.35,4.0,355.4,2.2,Electronic check,5.0,2024-06-06,0,24.0
TC-003735,53.89763532,Female,88.23341007,One year,50.35,4276.91,No internet,Yes,36.97,1.0,297.7,6.1,Bank transfer,1.0,2024-06-19,0,11.0
TC-004238,36.79046567,Female,48.8631831,Month-to-month,64.86,3239.71,Fiber optic,Yes,47.61,1.0,364.5,6.8,Credit card,0.0,2024-06-24,1,6.0
TC-003244,57.88092795,Male,17.28448548,Month-to-month,52.77,802.64,Fiber optic,Yes,34.09,3.0,317.1,6.2,Mailed check,0.0,2024-06-09,0,21.0
TC-001236,66.58675208,Male,4.228563463,One year,108.7,508.79,Fiber optic,No,3.35,0.0,97.9,6.4,Credit card,4.0,2024-06-30,0,0.0
TC-004569,63.78176549,Female,6.219361166,Month-to-month,26.69,139.82,Fiber optic,Yes,8.69,1.0,334.4,7.7,Bank transfer,1.0,2024-06-25,0,5.0
TC-004268,43.01292307,Male,59.08706435,Month-to-month,67.34,3972.81,DSL,No,13.46,0.0,161.3,4.2,Mailed check,1.0,2024-06-07,1,23.0
TC-000625,65.8977994,Male,86.80311665,Month-to-month,69.62,5935.03,No internet,Yes,4.17,1.0,342.8,3.7,Bank transfer,3.0,2024-05-21,0,40.0
TC-001630,54.79160513,Male,46.48026942,One year,45.46,2040.76,Fiber optic,Yes,9.51,2.0,231.8,4.3,Mailed check,3.0,2024-06-26,1,4.0
TC-000200,24.85544553,Female,34.46383283,Month-to-month,83.91,2873.26,No internet,Yes,1.0,3.0,213.7,7.7,Electronic check,4.0,2024-05-15,0,46.0
TC-003614,47.93729672,Male,18.33960616,Month-to-month,124.62,2587.57,DSL,No,2.79,1.0,9.8,7.7,Bank transfer,0.0,2024-06-13,1,17.0
TC-001989,32.37777607,Male,8.180070142,Month-to-month,57.89,361.55,DSL,Yes,16.46,1.0,110.2,5.2,Electronic check,5.0,2024-06-19,1,11.0
TC-002345,43.01292307,Female,25.01657929,Month-to-month,49.33,1143.92,Fiber optic,No,2.78,0.0,251.1,6.4,Electronic check,0.0,2024-06-25,0,5.0
TC-003264,59.59135268,Male,63.92525552,Month-to-month,75.08,4814.02,Fiber optic,Yes,8.26,1.0,246.0,7.5,Bank transfer,1.0,2024-06-27,0,3.0
TC-001906,48.71575389,Male,26.00498585,One year,45.86,1130.99,No internet,Yes,24.81,0.0,343.1,4.9,Electronic check,1.0,2024-04-30,0,61.0
TC-000766,31.45235362,Female,1.0,Month-to-month,52.23,28.02,No internet,Yes,4.2,4.0,337.1,3.5,Mailed check,2.0,2024-06-14,1,16.0
TC-000804,35.06587067,Female,10.59844905,Month-to-month,80.95,802.82,DSL,Yes,37.91,0.0,230.4,7.0,Electronic check,4.0,2024-05-20,0,41.0
TC-001502,33.73221426,Male,2.960885326,One year,112.26,259.9,Fiber optic,No,3.36,2.0,437.2,4.3,Credit card,4.0,2024-06-12,0,18.0
TC-001771,42.6540367,Male,10.78517842,Month-to-month,27.99,380.64,No internet,No,0.26,1.0,406.7,6.8,Bank transfer,5.0,2024-06-10,0,20.0
TC-000107,70.29278852,Female,22.75553372,One year,105.5,2490.47,Fiber optic,Yes,6.08,2.0,345.6,6.4,Electronic check,2.0,2024-05-13,0,48.0
TC-002965,60.34624601,Female,48.96370651,Two year,59.27,2844.7,Fiber optic,Yes,51.21,1.0,309.8,3.9,Credit card,3.0,2024-03-30,1,92.0
TC-000839,56.76483598,Female,5.096611075,Month-to-month,56.25,411.86,Fiber optic,No,2.49,2.0,175.7,7.1,Bank transfer,0.0,2024-05-11,1,50.0
TC-003972,25.46595389,Male,8.534594224,Two year,54.81,388.05,DSL,No,22.84,1.0,313.9,1.3,Bank transfer,5.0,2024-06-05,1,25.0
TC-000706,51.09014927,Male,43.27606904,Month-to-month,62.29,2590.24,No internet,Yes,0.56,1.0,104.8,7.2,Electronic check,1.0,2024-06-22,0,8.0
TC-004151,41.09394406,Male,23.27275581,Month-to-month,48.59,1210.35,DSL,Yes,2.49,3.0,404.2,4.6,Electronic check,4.0,2024-05-09,0,52.0
TC-003180,49.73442133,Male,6.402791394,One year,51.99,419.84,DSL,No,37.34,3.0,574.6,6.0,Bank transfer,5.0,2024-06-26,0,4.0
TC-004777,41.63650749,Female,14.90390098,Month-to-month,68.98,1132.13,Fiber optic,Yes,3.08,1.0,289.8,8.1,Credit card,1.0,2024-05-08,0,53.0
TC-000229,31.27044436,Female,8.904594193,Month-to-month,72.2,657.44,Fiber optic,No,17.1,3.0,297.1,7.5,Mailed check,3.0,2024-05-08,1,53.0
TC-003337,21.51263767,Male,20.07472989,Month-to-month,84.76,1814.63,Fiber optic,No,83.94,3.0,189.9,8.2,Credit card,5.0,2024-06-29,1,1.0
TC-002269,34.43730253,Female,33.28119455,One year,50.24,1617.95,DSL,Yes,10.38,1.0,245.4,7.0,Bank transfer,5.0,2024-05-16,0,45.0
TC-003853,61.44094593,Female,3.034408426,Month-to-month,104.82,463.05,DSL,No,20.08,3.0,280.8,7.2,Credit card,5.0,2024-05-19,1,42.0
TC-000502,70.64124961,Male,19.12928923,Month-to-month,95.57,1925.94,Fiber optic,No,0.14,0.0,271.6,5.9,Bank transfer,0.0,2024-09-22,1,-84.0
TC-003129,43.09020786,Male,1.0,One year,82.12,196.95,Fiber optic,Yes,18.45,2.0,220.6,4.6,Credit card,2.0,2024-06-15,0,15.0
TC-003353,48.42475039,Female,15.14607246,Two year,83.98,1090.3,DSL,Yes,13.49,0.0,453.5,8.3,Credit card,4.0,2024-06-30,0,0.0
TC-004175,39.36932316,Male,1.0,Month-to-month,84.33,236.85,No internet,Yes,31.57,1.0,505.3,6.7,Credit card,4.0,2024-05-30,1,31.0
TC-001635,36.97837002,Female,7.825323721,Month-to-month,55.99,436.3,Fiber optic,Yes,36.67,1.0,171.0,4.9,Bank transfer,3.0,2024-06-12,0,18.0
TC-001481,52.83572037,Male,18.03348844,One year,20.2,279.79,Fiber optic,No,45.02,2.0,276.1,5.7,Credit card,4.0,2024-04-21,0,70.0
TC-002116,34.3017965,Female,10.41704693,One year,24.98,438.85,Fiber optic,No,34.27,3.0,366.8,8.9,Electronic check,4.0,2024-06-25,0,5.0
TC-004000,47.40971837,Female,30.34181505,One year,92.67,3014.48,Fiber optic,Yes,18.51,3.0,263.4,8.1,Credit card,2.0,2024-04-24,0,67.0
TC-000562,73.13101198,Female,1.339114564,Two year,62.12,47.61,DSL,Yes,23.88,0.0,427.0,3.9,Credit card,1.0,2024-03-21,1,101.0
TC-004199,43.01292307,Male,18.62737466,Month-to-month,25.68,402.16,Fiber optic,Yes,1.76,1.0,166.9,2.1,Bank transfer,3.0,2024-04-27,1,64.0
TC-003698,46.98911265,Male,10.60906665,Two year,34.21,427.79,Fiber optic,Yes,5.4,3.0,156.9,3.6,Bank transfer,3.0,2024-06-01,0,29.0
TC-002787,30.45005901,Male,48.48075148,One year,57.37,2784.99,Fiber optic,Yes,44.94,2.0,118.9,6.8,Credit card,2.0,2024-02-26,0,125.0
TC-000280,36.22029605,Male,21.68148071,One year,71.98,1461.5,No internet,Yes,25.51,3.0,337.4,0.4,Electronic check,1.0,2024-03-18,0,104.0
TC-002267,43.89471299,Female,2.658904414,Two year,63.3,167.16,Fiber optic,Yes,15.0,1.0,497.9,5.8,Credit card,4.0,2024-06-29,0,1.0
TC-000158,49.10749381,Male,5.01899938,Two year,48.37,309.78,No internet,Yes,33.74,5.0,324.3,0.0,Mailed check,5.0,2024-06-24,0,6.0
TC-000539,57.09439214,Male,33.56075565,Month-to-month,79.82,2728.16,DSL,No,15.26,1.0,189.2,6.5,Electronic check,5.0,2024-05-05,0,56.0
TC-004115,66.44463197,Female,1.882753837,Two year,15.0,13.73,No internet,Yes,4.56,0.0,327.2,5.4,Credit card,4.0,2024-06-30,0,0.0
TC-004458,22.00307468,Male,6.720288181,Month-to-month,71.34,597.56,DSL,Yes,19.76,3.0,450.7,6.5,Bank transfer,5.0,2024-06-27,0,3.0
TC-001651,50.6944976,Male,13.78726965,Month-to-month,87.43,1158.12,Fiber optic,Yes,10.42,1.0,375.8,3.1,Credit card,1.0,2024-04-23,1,68.0
TC-003151,54.62975543,Male,26.33293818,One year,83.16,2145.7,No internet,Yes,1.03,2.0,392.2,6.8,Credit card,1.0,2024-05-16,0,45.0
TC-000765,59.23909989,Female,4.539550516,Month-to-month,71.57,378.56,DSL,Yes,14.38,2.0,304.0,7.9,Electronic check,0.0,2024-05-26,0,35.0
TC-001865,61.56510364,Male,17.67968612,Month-to-month,49.8,1060.35,No internet,Yes,26.69,0.0,212.6,7.6,Bank transfer,3.0,2024-06-29,1,1.0
TC-003486,34.27172409,Female,69.58952171,Month-to-month,79.42,5658.54,Fiber optic,No,1.02,1.0,189.7,3.6,Credit card,1.0,2024-06-20,1,10.0
TC-000732,27.32440834,Male,33.38575004,Month-to-month,42.68,1327.53,Fiber optic,Yes,1.06,1.0,221.6,5.5,Credit card,5.0,2024-06-29,1,1.0
TC-000085,29.87259596,Male,58.31918251,Month-to-month,99.13,6008.87,Fiber optic,No,4.67,4.0,457.4,6.3,Electronic check,4.0,2024-06-01,0,29.0
TC-002581,47.58158209,Female,3.739507669,Month-to-month,106.71,641.06,DSL,Yes,5.83,3.0,304.0,7.7,Electronic check,1.0,2024-06-20,1,10.0
TC-003208,54.45287718,Female,45.0660311,Two year,94.04,4286.37,Fiber optic,Yes,0.91,1.0,144.8,5.7,Mailed check,5.0,2024-06-01,0,29.0
TC-002975,55.67044083,Female,3.97325521,One year,15.0,99.77,No internet,Yes,27.26,3.0,319.9,4.2,Bank transfer,1.0,2024-06-14,0,16.0
TC-002697,58.22650092,Female,10.17265829,Month-to-month,72.22,817.89,DSL,Yes,45.16,0.0,377.8,6.0,Credit card,2.0,2024-06-26,1,4.0
TC-001339,36.17734772,Female,26.51467144,One year,48.05,1301.11,DSL,No,12.89,3.0,76.8,3.6,Credit card,2.0,2024-06-24,0,6.0
TC-003903,67.03604289,Male,13.37044163,Two year,52.88,607.18,DSL,Yes,4.54,1.0,415.0,10.0,Electronic check,5.0,2024-06-21,0,9.0
TC-000912,45.28725491,Male,92.16752262,Two year,65.05,6006.0,Fiber optic,Yes,51.48,1.0,254.8,4.7,Credit card,3.0,2024-05-31,1,30.0
TC-000030,37.62459375,Male,3.082323432,Two year,49.58,375.37,DSL,Yes,52.65,0.0,208.6,4.2,Bank transfer,2.0,2024-05-24,0,37.0
TC-000678,68.28405665,Male,2.146161001,Month-to-month,68.68,270.41,No internet,Yes,14.35,4.0,329.6,4.0,Credit card,3.0,2024-06-12,1,18.0
TC-004502,18.0,Male,9.242414714,Two year,55.46,353.75,DSL,No,16.49,2.0,448.4,6.1,Bank transfer,2.0,2024-05-28,0,33.0
TC-003686,29.24197082,Female,13.2504563,Month-to-month,97.56,1284.44,Fiber optic,Yes,2.6,2.0,15.8,8.1,Electronic check,1.0,2024-06-02,1,28.0
TC-003742,49.81919858,Female,22.38196629,One year,71.4,1672.86,DSL,Yes,0.85,3.0,234.5,7.5,Bank transfer,1.0,2024-03-11,0,111.0
TC-001621,43.69905616,Male,9.599986386,Two year,53.27,468.37,Fiber optic,No,30.17,2.0,175.0,6.1,Credit card,0.0,2024-06-23,1,7.0
TC-000423,38.26553777,Male,25.75760929,Month-to-month,48.83,1179.99,No internet,Yes,23.87,1.0,417.7,1.4,Credit card,4.0,2024-06-25,0,5.0
TC-001666,41.65697907,Female,16.78296907,Month-to-month,72.68,1240.51,Fiber optic,Yes,1.64,2.0,339.6,10.0,Credit card,0.0,2024-05-23,0,38.0
TC-004990,77.88164453,Male,2.690221157,One year,69.03,282.42,DSL,No,23.98,2.0,326.7,4.9,Credit card,3.0,2024-06-23,0,7.0
TC-002728,62.12213873,Female,8.004122778,Month-to-month,63.83,621.03,Fiber optic,Yes,7.55,3.0,137.6,7.1,Electronic check,2.0,2024-05-24,1,37.0
TC-003194,32.73537485,Male,6.030526595,Month-to-month,57.91,216.63,Fiber optic,No,14.2,2.0,261.0,5.8,Bank transfer,0.0,2024-06-05,1,25.0
TC-003969,72.22912666,Female,12.14938302,One year,82.6,960.26,No internet,No,2.46,6.0,246.0,7.3,Mailed check,0.0,2024-06-20,0,10.0
TC-000169,38.31917826,Male,13.2681081,Month-to-month,73.3,892.25,Fiber optic,No,0.55,1.0,374.6,0.8,Mailed check,4.0,2024-06-17,1,13.0
TC-003835,27.44813609,Male,15.25729749,Two year,71.98,1207.14,Fiber optic,No,13.17,1.0,482.2,8.8,Credit card,0.0,2024-06-03,0,27.0
TC-003482,43.01292307,Male,13.75783376,Month-to-month,113.33,1626.28,Fiber optic,Yes,29.83,2.0,324.0,3.5,Electronic check,4.0,2024-06-14,1,16.0
TC-003470,38.72020084,Female,59.08836923,Month-to-month,101.71,5967.24,Fiber optic,No,25.55,3.0,385.0,4.4,Credit card,2.0,2024-06-19,1,11.0
TC-000228,25.83382833,Male,16.11301609,One year,111.95,1912.0,DSL,Yes,11.21,2.0,185.3,5.4,Electronic check,1.0,2024-06-20,0,10.0
TC-002655,32.13248169,Male,8.136089189,One year,45.53,427.83,DSL,Yes,31.18,4.0,236.1,10.0,Credit card,4.0,2024-06-27,0,3.0
TC-000487,32.30140674,Female,12.76436962,Two year,44.3,465.06,DSL,Yes,14.53,2.0,154.8,7.2,Credit card,4.0,2024-06-14,0,16.0
TC-001695,43.89569369,Female,59.40591271,Two year,62.33,3697.61,Fiber optic,No,35.84,0.0,352.2,5.8,Bank transfer,2.0,2024-06-14,0,16.0
TC-001201,43.87836754,Female,13.7472431,Month-to-month,64.44,883.21,Fiber optic,Yes,4.2,2.0,297.2,6.2,Bank transfer,4.0,2023-11-04,1,239.0
TC-002686,46.74233936,Male,5.010372257,Month-to-month,65.39,981.625,DSL,Yes,17.81,0.0,193.1,4.8,Bank transfer,5.0,2024-05-14,0,47.0
TC-003173,22.2430212,Female,1.0,Two year,15.0,130.39,DSL,Yes,14.04,2.0,303.2,9.1,Bank transfer,5.0,2024-05-30,1,31.0
TC-000024,20.62877721,Female,47.3104049,Two year,88.06,4198.13,DSL,Yes,55.61,1.0,235.1,5.1,Bank transfer,5.0,2024-06-30,0,0.0
TC-003085,39.21231372,Male,34.87240308,Month-to-month,51.65,1827.51,DSL,Yes,47.98,1.0,150.3,3.4,Mailed check,2.0,2024-04-21,0,70.0
TC-003131,40.66148769,Male,33.03386281,One year,63.61,943.95,DSL,Yes,41.42,3.0,434.4,6.4,Mailed check,5.0,2024-06-27,1,3.0
TC-002537,56.63725079,Male,44.02760475,One year,29.03,1214.92,Fiber optic,No,4.95,0.0,287.7,5.5,Electronic check,1.0,2024-06-16,1,14.0
TC-002898,67.87044975,Male,46.74570187,Month-to-month,64.99,2984.8,DSL,Yes,18.11,0.0,251.5,4.9,Credit card,2.0,2024-06-15,0,15.0
TC-004841,29.90434606,Female,56.23071272,Month-to-month,65.31,3569.69,Fiber optic,Yes,22.94,1.0,385.3,8.7,Credit card,3.0,2024-05-14,1,47.0
TC-002094,24.91750323,Female,1.0,Two year,70.86,37.53,Fiber optic,Yes,29.74,2.0,274.7,7.5,Mailed check,2.0,2024-03-09,0,113.0
TC-000240,54.78650002,Male,4.671764469,Month-to-month,97.75,380.16,Fiber optic,No,6.7,1.0,261.5,4.5,Credit card,3.0,2024-06-12,0,18.0
TC-003572,61.67975608,Male,5.261643309,Month-to-month,52.21,372.12,Fiber optic,No,3.78,3.0,322.0,4.6,Credit card,0.0,2024-06-11,1,19.0
TC-003766,42.26419878,Male,16.91524887,Two year,56.85,853.9,Fiber optic,No,2.35,0.0,210.9,4.0,Bank transfer,4.0,2024-06-06,0,24.0
TC-002017,38.03227738,Female,3.585995438,One year,66.49,303.55,Fiber optic,Yes,7.56,2.0,321.1,5.5,Electronic check,4.0,2024-06-02,0,28.0
TC-004039,41.66549574,Male,10.1713435,Month-to-month,42.48,581.84,Fiber optic,No,4.73,1.0,305.5,6.5,Electronic check,4.0,2024-06-19,1,11.0
TC-000298,46.60949281,Male,16.94775856,One year,15.0,351.37,Fiber optic,No,5.57,3.0,458.9,7.5,Bank transfer,5.0,2024-05-21,0,40.0
TC-000249,68.4818136,Male,11.13788228,Month-to-month,64.02,827.87,Fiber optic,Yes,17.52,0.0,442.9,6.0,Electronic check,0.0,2024-06-17,1,13.0
TC-002136,33.39597341,Female,12.50788324,Month-to-month,100.86,1240.72,Fiber optic,Yes,27.41,3.0,271.0,7.3,Mailed check,3.0,2024-06-10,0,20.0
TC-000374,56.38906239,Male,4.286173899,One year,81.09,507.5,Fiber optic,No,7.61,0.0,259.8,8.5,Credit card,3.0,2024-06-19,0,11.0
TC-000882,34.03696841,Male,34.37771114,Month-to-month,82.87,2958.98,Fiber optic,Yes,7.41,4.0,306.1,6.8,Bank transfer,5.0,2024-06-29,0,1.0
TC-002308,39.25205072,Male,25.87803195,Month-to-month,54.63,1423.3,Fiber optic,No,36.96,1.0,306.7,6.9,Credit card,4.0,2024-03-05,1,117.0
TC-003888,39.56814037,Male,113.8775751,Month-to-month,44.12,5104.17,Fiber optic,No,22.52,4.0,413.9,5.2,Credit card,1.0,2024-06-11,1,19.0
TC-004504,48.19498368,Male,6.842378493,Month-to-month,59.17,285.02,DSL,Yes,3.06,1.0,430.2,10.0,Electronic check,3.0,2024-06-11,0,19.0
TC-002992,51.03177481,Male,23.41817146,One year,99.39,2269.73,Fiber optic,Yes,17.58,1.0,126.4,6.8,Credit card,5.0,2024-06-02,0,28.0
TC-000725,44.56298157,Female,3.935498706,One year,73.61,221.98,DSL,Yes,42.22,2.0,175.3,10.0,Mailed check,3.0,2024-06-22,1,8.0
TC-002221,36.62489772,Female,52.27692604,Month-to-month,59.77,3030.63,Fiber optic,No,10.01,3.0,327.5,2.7,Credit card,3.0,2024-06-18,1,12.0
TC-002218,41.00801078,Male,27.16450593,One year,49.36,1401.72,No internet,Yes,17.55,2.0,374.2,3.4,Credit card,4.0,2024-03-23,0,99.0
TC-001469,24.06175407,Male,2.97833013,One year,69.39,205.92,DSL,No,10.5,1.0,156.7,6.1,Electronic check,2.0,2024-06-20,0,10.0
TC-001593,48.54839706,Female,62.94818372,Month-to-month,63.79,3927.09,Fiber optic,Yes,26.85,2.0,328.6,5.4,Electronic check,4.0,2024-06-24,0,6.0
TC-003952,29.48577285,Male,83.48465169,Month-to-month,109.83,9053.98,Fiber optic,No,9.71,1.0,375.2,6.0,Credit card,0.0,2024-06-29,1,1.0
TC-002446,45.95230823,Male,3.760089152,One year,52.47,181.83,No internet,Yes,9.97,1.0,509.5,4.1,Electronic check,3.0,2024-06-22,0,8.0
TC-003092,53.39568443,Female,15.2222689,One year,88.35,1407.77,No internet,No,0.66,4.0,213.4,6.8,Bank transfer,0.0,2024-06-27,0,3.0
TC-000928,47.65817813,Male,27.60829084,One year,75.47,2264.31,Fiber optic,Yes,9.82,2.0,277.5,7.4,Bank transfer,3.0,2024-05-01,0,60.0
TC-004580,54.47425179,Female,1.246203895,One year,107.35,144.27,No internet,Yes,1.24,4.0,292.0,6.1,Bank transfer,4.0,2024-05-16,0,45.0
TC-004653,42.68345822,Female,1.0,Month-to-month,112.79,176.66,DSL,Yes,4.28,3.0,341.0,6.7,Electronic check,3.0,2024-04-27,1,64.0
TC-000600,47.6595074,Female,26.04179182,Two year,82.08,2141.66,DSL,No,1.23,4.0,204.2,7.6,Bank transfer,5.0,2024-06-21,0,9.0
TC-001393,72.20080871,Male,16.7945832,Two year,38.77,691.99,DSL,Yes,2.9,1.0,546.2,4.2,Electronic check,5.0,2024-02-16,1,135.0
TC-002228,32.99364651,Female,3.208297882,Month-to-month,109.3,459.54,No internet,No,16.93,2.0,373.6,3.8,Credit card,5.0,2024-05-26,1,35.0
TC-004177,41.86067158,Female,8.403783214,Month-to-month,77.47,823.84,Fiber optic,Yes,0.91,3.0,176.3,8.2,Credit card,4.0,2024-06-22,0,8.0
TC-001610,38.21469747,Female,7.048248281,One year,32.73,290.37,DSL,No,29.96,3.0,375.5,7.7,Credit card,3.0,2024-06-20,1,10.0
TC-004291,49.6291256,Female,29.64066146,Month-to-month,53.38,1547.47,DSL,Yes,29.52,3.0,192.7,5.8,Credit card,3.0,2024-06-27,0,3.0
TC-002877,27.95240438,Male,34.89390515,Two year,73.31,2335.46,No internet,Yes,26.96,2.0,542.7,6.6,Bank transfer,3.0,2024-06-06,0,24.0
TC-003289,32.58399141,Male,60.79324518,Month-to-month,90.05,5518.39,No internet,Yes,2.28,1.0,742.1,8.0,Credit card,5.0,2024-06-12,0,18.0
TC-002143,44.60012497,Male,2.624541133,Month-to-month,56.16,80.12,No internet,Yes,51.35,2.0,323.6,5.4,Bank transfer,1.0,2024-06-16,1,14.0
TC-000472,43.01292307,Female,16.64365671,Month-to-month,65.41,1129.91,Fiber optic,Yes,17.29,1.0,264.8,8.2,Bank transfer,2.0,2024-03-12,0,110.0
TC-001245,32.26083682,Male,25.94379758,Month-to-month,91.64,2416.97,DSL,No,50.95,4.0,277.9,2.4,Mailed check,1.0,2024-05-11,1,50.0
TC-003691,50.00038867,Male,13.76331866,One year,39.93,302.48,Fiber optic,Yes,11.33,4.0,234.5,5.9,Credit card,5.0,2024-05-17,1,44.0
TC-004222,54.67161564,Male,10.75129134,One year,64.26,595.75,Fiber optic,Yes,12.82,3.0,288.5,6.5,Bank transfer,4.0,2024-04-16,0,75.0
TC-001074,22.75511664,Female,15.05474952,One year,69.35,1093.59,Fiber optic,Yes,11.63,1.0,378.5,4.2,Bank transfer,4.0,2024-05-19,0,42.0
